ID,Country,Pollutant,Value,Unit,Last Update,Source Name
1,Lithuania,CO,151.346,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
2,Lithuania,CO,221.198,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
3,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
4,Lithuania,CO,209.556,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
5,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
6,Lithuania,CO,244.482,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
7,Lithuania,CO,197.914,µg/m³,"November 13, 2023 7:00 AM",EEA Lithuania
8,Lithuania,CO,139.704,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
9,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
10,Lithuania,NO2,8.032,µg/m³,"November 13, 2023 7:00 AM",EEA Lithuania
11,Lithuania,NO2,1.721,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
12,Lithuania,NO2,4.399,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
13,Lithuania,NO2,5.929,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
14,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
15,Lithuania,NO2,7.459,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
16,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
17,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
18,Lithuania,NO2,20.273,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
19,Lithuania,NO2,1.148,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
20,Lithuania,NO2,1.913,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
21,Lithuania,NO2,1.53,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
22,Lithuania,NO2,0.765,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
